trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
168,False,"{'a': 0.8, 'e': 0.43080185560799106}",20,0,4.160471606172783,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
169,False,"{'a': 0.8, 'e': 0.4286478463299511}",30,8,-146.3152754816514,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 3}",1
170,False,"{'a': 0.8, 'e': 0.42650460709830135}",20,0,-95.43130211690556,"{0: 12, 1: 0, 2: 5, 3: 3, 4: 0}",0
171,False,"{'a': 0.8, 'e': 0.42437208406280985}",20,7,-59.067290037182424,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
172,False,"{'a': 0.8, 'e': 0.4222502236424958}",35,22,0.4060095227423379,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.8, 'e': 0.42013897252428334}",25,12,-82.76143131186525,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 2}",1
174,False,"{'a': 0.8, 'e': 0.4180382776616619}",30,21,4.480573252897375,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.8, 'e': 0.4159480862733536}",20,16,8.083728877541407,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.8, 'e': 0.41386834584198684}",20,3,-93.78840603113771,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 2}",1
177,False,"{'a': 0.8, 'e': 0.4117990041127769}",35,20,14.523072328311875,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.8, 'e': 0.40974000909221303}",25,0,-34.581911453934346,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
179,False,"{'a': 0.8, 'e': 0.40769130904675194}",25,14,19.46861742680661,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.8, 'e': 0.40565285250151817}",25,16,-38.68369271750542,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
181,False,"{'a': 0.8, 'e': 0.4036245882390106}",20,0,8.878233515738769,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
182,False,"{'a': 0.8, 'e': 0.4016064652978155}",20,0,4.339214398848824,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
183,False,"{'a': 0.8, 'e': 0.3995984329713264}",20,10,11.502942054151282,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.8, 'e': 0.3976004408064698}",25,5,-53.73583079672721,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",1
185,False,"{'a': 0.8, 'e': 0.39561243860243744}",30,11,10.420612501241814,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.8, 'e': 0.3936343764094253}",20,12,12.526722994103629,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.8, 'e': 0.39166620452737816}",25,14,-30.16362620851457,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
188,False,"{'a': 0.8, 'e': 0.3897078735047413}",20,0,-25.6213309625641,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
189,False,"{'a': 0.8, 'e': 0.3877593341372176}",20,0,-12.219494041343333,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
190,False,"{'a': 0.8, 'e': 0.3858205374665315}",20,13,-30.56640737800474,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
191,False,"{'a': 0.8, 'e': 0.38389143477919885}",30,0,10.160229614239764,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
192,False,"{'a': 0.8, 'e': 0.3819719776053028}",20,15,-33.48076181248455,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
193,False,"{'a': 0.8, 'e': 0.3800621177172763}",30,9,-54.38337484857076,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 1}",1
194,False,"{'a': 0.8, 'e': 0.37816180712868996}",20,12,0.49536790219192817,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.8, 'e': 0.37627099809304654}",20,14,9.067774993647507,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.8, 'e': 0.3743896431025813}",30,18,16.57852582409138,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.8, 'e': 0.37251769488706843}",30,18,-26.71930036614915,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
198,False,"{'a': 0.8, 'e': 0.3706551064126331}",25,14,0.30563207308860596,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
199,False,"{'a': 0.8, 'e': 0.36880183088056995}",20,2,-18.4712869273768,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
200,False,"{'a': 0.8, 'e': 0.3669578217261671}",20,10,-20.74822763429087,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
201,False,"{'a': 0.8, 'e': 0.36512303261753626}",25,0,-87.10538585458735,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
202,False,"{'a': 0.8, 'e': 0.3632974174544486}",25,15,22.623128907525075,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.8, 'e': 0.3614809303671764}",25,9,-34.221502910315564,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
204,False,"{'a': 0.8, 'e': 0.3596735257153405}",25,7,4.412123984155243,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
205,False,"{'a': 0.8, 'e': 0.3578751580867638}",20,11,20.318796024783452,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.8, 'e': 0.35608578229633}",25,18,11.570529724278353,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.8, 'e': 0.3543053533848483}",25,0,-88.22050675592514,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
208,False,"{'a': 0.8, 'e': 0.35253382661792404}",25,6,10.730972708965014,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
209,False,"{'a': 0.8, 'e': 0.3507711574848344}",20,11,-26.651476599429778,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
210,False,"{'a': 0.8, 'e': 0.34901730169741024}",20,0,7.131929996591549,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
211,False,"{'a': 0.8, 'e': 0.3472722151889232}",25,0,-54.65349359726034,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
212,False,"{'a': 0.8, 'e': 0.3455358541129786}",20,13,13.342814533267639,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.8, 'e': 0.3438081748424137}",30,0,37.508495461347515,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
